id,mass (g),reclat,reclong
11968,98.5,-30.31667,129.68333
11969,25.6,-30.33333,129.68333
11970,96.9,-30.55,129.65
11971,1100.0,-30.31667,129.73333
11972,46.0,-30.33333,129.76667
11973,33.6,-30.38333,129.81667
11974,47.4,-30.33333,129.8
11975,12.8,-30.43333,129.76667
11976,458.3,-30.46667,129.71667
11977,68.9,-30.46667,129.78333
11978,311.2,-30.46667,129.8
11979,664.4,-30.46667,129.8
11980,186.8,-30.48333,129.63333
11981,74.3,-30.46667,129.68333
11982,37.2,-30.43333,129.5
52649,40.9,-30.85,132.08333
12034,50000.0,-25.55,142.78333
12077,914.0,-29.58333,121.16667
12196,,-30.33333,126.36667
45814,2198.0,-25.91667,119.3
12233,12000.0,-32.61667,134.85
12252,392.5,-33.25,135.53333
12254,542.0,-34.31667,138.93333
12302,13600.0,-33.6,136.1
12310,1492.0,-33.21667,136.41667
12313,17.3,-30.46667,125.7
12314,,-20.69944,139.80417
12327,3600.0,-28.03333,138.13333
12346,450.0,-35.1,143.4
12348,,-26.0,122.0
12372,55300.0,-34.15,141.78333
12375,53500.0,-24.91667,119.41667
12386,32700.0,-33.28333,136.0
12387,2492.7,-31.18333,126.41667
12388,7900.0,-33.9,138.48333
12436,2750.0,-37.75,140.3
12437,23400.0,-31.0,118.5
55549,12.1,-26.21667,122.5
12438,32.5,-30.71061,140.15142
12439,201.0,-30.71061,140.15142
12440,5.0,-30.71061,140.15142
12441,107.0,-30.71061,140.15142
12442,54.0,-30.71061,140.15142
12443,10500.0,-33.06667,118.21667
12444,25850.0,-30.53333,134.75
12445,2600.0,-24.83333,139.8
12447,906.0,-31.03333,138.2
12458,9000.0,-25.66667,117.0
12736,,-29.75,116.43333
12737,43.1,-31.53333,127.1
12738,1443.0,-31.53333,127.01667
12739,4002.0,-31.46667,126.93333
12757,3.3,-40.73333,146.96667
55550,2572.0,-28.84519,121.397
14660,10000.0,-35.95,143.33333
14663,357.0,-24.13833,115.87167
14697,16.6,-30.09056,128.80583
14699,179.0,-30.6,127.16667
14700,53.89,-30.13,127.38267
14701,58.0,-30.53583,127.33967
14719,22.0,-34.45,140.56667
14763,31.5,-31.01667,127.21667
55542,36.54,-31.39953,127.14467
15404,1050.0,-33.56667,136.65
15412,3388.0,-30.3,131.26667
15431,236.0,-25.73333,142.95
15440,113.3,-29.95,128.08333
15473,1181.6,-28.85,116.28333
15479,747.0,-33.16667,141.75
15480,270.0,-32.91667,141.88333
15481,172.0,-32.91667,141.88333
15482,158.5,-33.13333,141.71667
15483,72.9,-32.91667,141.88333
15484,68.2,-32.91667,141.88333
16641,265000.0,-27.83333,150.33333
16686,7464.0,-26.33333,121.0
16688,26500.0,-26.11667,116.66667
